product_type,primary,secondary,accent,background,text,use_case
saas_dashboard,#3B82F6,#10B981,#F59E0B,#F8FAFC,#1E293B,professional data-driven applications
healthcare_wellness,#22C55E,#14B8A6,#F97316,#F0FDF4,#14532D,medical and wellness platforms
fintech_banking,#1E40AF,#059669,#D97706,#F1F5F9,#0F172A,financial services applications
ecommerce_retail,#EF4444,#8B5CF6,#F59E0B,#FFFBEB,#1F2937,online shopping platforms
creative_portfolio,#EC4899,#6366F1,#F59E0B,#FAFAFA,#18181B,artist and designer portfolios
education_learning,#3B82F6,#8B5CF6,#10B981,#F5F3FF,#1E1B4B,educational platforms and LMS
real_estate,#0EA5E9,#22C55E,#F59E0B,#FFFBEB,#1E293B,property listing and real estate
food_restaurant,#EA580C,#DC2626,#84CC16,#FFF7ED,#7C2D12,restaurant and food delivery apps
travel_tourism,#0891B2,#F59E0B,#EC4899,#F0FDFA,#134E4A,travel booking and tourism platforms
fitness_sports,#EF4444,#F97316,#22C55E,#FEF2F2,#7F1D1D,fitness tracking and sports apps
music_entertainment,#8B5CF6,#EC4899,#06B6D4,#FAFAFA,#18181B,music streaming and entertainment
social_media,#3B82F6,#10B981,#F43F5E,#FFFFFF,#0F172A,social networking platforms
legal_services,#1E3A5F,#475569,#B45309,#F8FAFC,#0F172A,law firms and legal tech
automotive,#DC2626,#1F2937,#F59E0B,#F9FAFB,#111827,car dealerships and automotive
tech_startup,#6366F1,#10B981,#F59E0B,#FAFAFA,#18181B,technology startups and apps
nonprofit_charity,#059669,#3B82F6,#F59E0B,#F0FDF4,#14532D,charity and nonprofit organizations
fashion_beauty,#BE185D,#EC4899,#F59E0B,#FDF2F8,#831843,fashion brands and beauty products
crypto_web3,#8B5CF6,#F59E0B,#10B981,#0F0F23,#E2E8F0,blockchain and cryptocurrency apps
productivity_tools,#3B82F6,#6366F1,#10B981,#F8FAFC,#1E293B,task management and productivity
gaming_esports,#7C3AED,#EF4444,#F59E0B,#0F0F0F,#FAFAFA,gaming platforms and esports
