name,heading_font,body_font,google_fonts_url,use_case,character
Modern Sans,Inter,Inter,"https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap",tech startups,professional clean
Classic Editorial,Merriweather,Open Sans,"https://fonts.googleapis.com/css2?family=Merriweather:wght@400;700&family=Open+Sans:wght@400;600&display=swap",blogs news,traditional elegant
Geometric Modern,Poppins,Roboto,"https://fonts.googleapis.com/css2?family=Poppins:wght@400;500;600;700&family=Roboto:wght@400;500&display=swap",marketing brands,friendly approachable
Minimal Tech,Space Grotesk,Inter,"https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700&family=Inter:wght@400;500&display=swap",developer tools,technical modern
Luxury Serif,Playfair Display,Lato,"https://fonts.googleapis.com/css2?family=Playfair+Display:wght@400;600;700&family=Lato:wght@400;700&display=swap",luxury brands,sophisticated elegant
Friendly Rounded,Nunito,Source Sans Pro,"https://fonts.googleapis.com/css2?family=Nunito:wght@400;600;700&family=Source+Sans+Pro:wght@400;600&display=swap",education apps,warm approachable
Bold Impact,Montserrat,Open Sans,"https://fonts.googleapis.com/css2?family=Montserrat:wght@500;600;700;800&family=Open+Sans:wght@400;600&display=swap",landing pages,confident bold
Clean Corporate,Lato,Lato,"https://fonts.googleapis.com/css2?family=Lato:wght@400;700;900&display=swap",enterprise b2b,professional neutral
Creative Display,DM Serif Display,DM Sans,"https://fonts.googleapis.com/css2?family=DM+Serif+Display&family=DM+Sans:wght@400;500;700&display=swap",creative agencies,artistic refined
Startup Fresh,Outfit,Outfit,"https://fonts.googleapis.com/css2?family=Outfit:wght@400;500;600;700&display=swap",modern startups,contemporary fresh
Retro Vintage,Archivo Black,Archivo,"https://fonts.googleapis.com/css2?family=Archivo+Black&family=Archivo:wght@400;500;600&display=swap",retro brands,nostalgic bold
Monospace Tech,JetBrains Mono,Inter,"https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;500;600&family=Inter:wght@400;500&display=swap",code editors,technical precise
Elegant Magazine,Cormorant Garamond,Mulish,"https://fonts.googleapis.com/css2?family=Cormorant+Garamond:wght@400;600;700&family=Mulish:wght@400;600&display=swap",editorial fashion,refined editorial
Friendly Casual,Nunito Sans,Nunito Sans,"https://fonts.googleapis.com/css2?family=Nunito+Sans:wght@400;600;700&display=swap",lifestyle apps,casual friendly
Swiss Style,Helvetica Neue,Helvetica Neue,"system-ui,-apple-system,BlinkMacSystemFont,Segoe UI,Roboto",design systems,timeless neutral
